Idade;Frequência Absoluta;Custo Total;Frequência Relativa;Gasto por Colaborador
18;69;48894.9011389;0.027537386274277483;708.6217556362319
19;68;66285.783475;0.03733185222849311;974.7909334558824
20;29;29463.123435;0.01659349731726577;1015.9697736206897
21;28;13245.300122999999;0.00745969287819265;473.04643296428566
22;28;28036.211845;0.015789867189832867;1001.2932801785715
23;28;34775.496111;0.019585401483230923;1241.9820039642857
24;28;29814.444694;0.016791359854874045;1064.8015962142858
25;28;27547.42287;0.0155145834588576;983.8365310714286
26;28;17174.710864;0.009672719162831668;613.3825308571429
27;28;34117.16482;0.019214632289829527;1218.470172142857
28;28;25393.72518;0.01430163070046936;906.9187564285714
29;27;28161.428563;0.0158603886767619;1043.0158727037037
30;27;34341.597967;0.0193410320189983;1271.9110358148148
31;27;27531.847548;0.015505811508239646;1019.6980573333334
32;26;23972.780756;0.013501361253828875;922.030029076923
33;26;32113.985767000002;0.018086450944247136;1235.1532987307694
34;26;30195.173114;0.01700578437201034;1161.352812076923
35;25;28267.955078;0.015920383926239432;1130.71820312
36;25;30511.190345;0.017183763841375724;1220.4476138
37;25;45049.779693;0.025371831337854537;1801.99118772
38;25;20256.834185;0.011408557020325807;810.2733674
39;25;29445.607363;0.016583632345061373;1177.82429452
40;27;31785.078537;0.017901211885982492;1177.2251310000001
41;27;26065.113254;0.014679753414761387;965.374564962963
42;27;35264.804406;0.019860977692871793;1306.103866888889
43;27;52021.652364;0.029298358364691367;1926.7278653333333
44;27;42820.370785;0.02411623836531719;1585.9396587037036
45;29;43007.579583;0.024221673510176657;1483.0199856206896
46;29;41593.512852;0.023425277549000003;1434.259063862069
47;29;51196.59882;0.028833691955538653;1765.399959310345
48;29;42434.251291;0.023898777619786666;1463.2500445172413
49;28;35548.817540000004;0.02002093260014747;1269.6006264285716
50;29;45422.709572;0.025581863752115262;1566.3003300689654
51;29;45478.542015;0.025613308330460147;1568.2255867241379
52;29;52943.182186;0.029817359775484505;1825.6269719310344
53;28;44858.606114;0.025264163246341193;1602.0930755000002
54;28;52523.930131;0.02958123892206418;1875.8546475357143
55;26;42027.81827;0.023669876388099868;1616.454548846154
56;26;39066.341175;0.022001985937196405;1502.5515836538461
57;26;42762.68165;0.02408374810646973;1644.718525
58;25;34697.320279;0.019541373209669605;1387.89281116
59;25;47239.673829;0.026605169770250514;1889.58695316
60;23;50552.662567;0.028471029982166458;2197.9418507391306
61;23;50656.2525;0.028529371361997537;2202.445760869565
62;23;44076.870119;0.024823893084066642;1916.385657347826
63;23;45735.49646;0.025758023906973057;1988.4998460869567
64;22;51206.167842;0.028839081185273112;2327.5530837272727
Total Geral;1338;1775582.4990759;1.0;
